event,date,producto_relacionado
All Souls' Day,2025-11-02,Espinaca
All Souls' Day,2025-11-02,Jitomate (tomate rojo)
All Souls' Day,2025-11-02,Lechuga
All Souls' Day,2025-11-02,Papas fritas clásicas 170 g
All Souls' Day,2025-11-02,Pepino
All Souls' Day,2025-11-02,Tomate verde (tomatillo)
All Souls' Day,2025-11-02,Zanahoria
Revolution Day Memorial,2025-11-17,Aguacate Hass
Revolution Day Memorial,2025-11-17,Guayaba
Revolution Day Memorial,2025-11-17,Lima
Revolution Day Memorial,2025-11-17,Refresco limón 600 ml
Revolution Day Memorial,2025-11-17,Mandarina
Revolution Day Memorial,2025-11-17,Jugo de naranja 1 L
Revolution Day Memorial,2025-11-17,Papaya
Revolution Day Memorial,2025-11-17,Piña
Revolution Day Memorial,2025-11-17,Plátano
Revolution Day Memorial,2025-11-17,Tejocote
Revolution Day Memorial,2025-11-17,Toronja (pomelo)
Revolution Day Memorial,2025-11-17,Uva
Revolution Day Memorial,2025-11-17,Zapote negro
Revolution Day Memorial,2025-11-17,Acelga
Revolution Day Memorial,2025-11-17,Ajo
Revolution Day Memorial,2025-11-17,Betabel
Revolution Day Memorial,2025-11-17,Calabacita
Revolution Day Memorial,2025-11-17,Cebolla
Revolution Day Memorial,2025-11-17,Col (repollo)
Revolution Day Memorial,2025-11-17,Coliflor
Revolution Day Memorial,2025-11-17,Ejote
Revolution Day Memorial,2025-11-17,Elote (maíz tierno)
Revolution Day Memorial,2025-11-17,Espinaca
Revolution Day Memorial,2025-11-17,Jitomate (tomate rojo)
Revolution Day Memorial,2025-11-17,Lechuga
Revolution Day Memorial,2025-11-17,Papas fritas clásicas 170 g
Revolution Day Memorial,2025-11-17,Pepino
Revolution Day Memorial,2025-11-17,Tomate verde (tomatillo)
Revolution Day Memorial,2025-11-17,Zanahoria
Christ the King Day,2025-11-23,Aguacate Hass
Christ the King Day,2025-11-23,Guayaba
Christ the King Day,2025-11-23,Lima
Christ the King Day,2025-11-23,Refresco limón 600 ml
Christ the King Day,2025-11-23,Mandarina
Christ the King Day,2025-11-23,Jugo de naranja 1 L
Christ the King Day,2025-11-23,Papaya
Christ the King Day,2025-11-23,Piña
Christ the King Day,2025-11-23,Plátano
Christ the King Day,2025-11-23,Tejocote
Christ the King Day,2025-11-23,Toronja (pomelo)
Christ the King Day,2025-11-23,Uva
Christ the King Day,2025-11-23,Zapote negro
Christ the King Day,2025-11-23,Acelga
Christ the King Day,2025-11-23,Ajo
Christ the King Day,2025-11-23,Betabel
Christ the King Day,2025-11-23,Calabacita
Christ the King Day,2025-11-23,Cebolla
Christ the King Day,2025-11-23,Col (repollo)
Christ the King Day,2025-11-23,Coliflor
Christ the King Day,2025-11-23,Ejote
Christ the King Day,2025-11-23,Elote (maíz tierno)
Christ the King Day,2025-11-23,Espinaca
Christ the King Day,2025-11-23,Jitomate (tomate rojo)
Christ the King Day,2025-11-23,Lechuga
Christ the King Day,2025-11-23,Papas fritas clásicas 170 g
Christ the King Day,2025-11-23,Pepino
Christ the King Day,2025-11-23,Tomate verde (tomatillo)
Christ the King Day,2025-11-23,Zanahoria
Feast of the Immaculate Conception,2025-12-08,Aguacate Hass
Feast of the Immaculate Conception,2025-12-08,Guayaba
Feast of the Immaculate Conception,2025-12-08,Lima
Feast of the Immaculate Conception,2025-12-08,Refresco limón 600 ml
Feast of the Immaculate Conception,2025-12-08,Mandarina
Feast of the Immaculate Conception,2025-12-08,Jugo de naranja 1 L
Feast of the Immaculate Conception,2025-12-08,Papaya
Feast of the Immaculate Conception,2025-12-08,Piña
Feast of the Immaculate Conception,2025-12-08,Plátano
Feast of the Immaculate Conception,2025-12-08,Tejocote
Feast of the Immaculate Conception,2025-12-08,Toronja (pomelo)
Feast of the Immaculate Conception,2025-12-08,Uva
Feast of the Immaculate Conception,2025-12-08,Zapote negro
Feast of the Immaculate Conception,2025-12-08,Acelga
Feast of the Immaculate Conception,2025-12-08,Ajo
Feast of the Immaculate Conception,2025-12-08,Betabel
Feast of the Immaculate Conception,2025-12-08,Calabacita
Feast of the Immaculate Conception,2025-12-08,Cebolla
Feast of the Immaculate Conception,2025-12-08,Col (repollo)
Feast of the Immaculate Conception,2025-12-08,Coliflor
Feast of the Immaculate Conception,2025-12-08,Espinaca
